transaction_id,timestamp,vendor,category,amount,currency,country,method,description,vat_claimed,invoice_id,non_compliant
1,2024-04-19T20:00:00,TaxPrep LLC,professional_service,614.9,USD,NL,ach,Consulting retainer - TaxPrep LLC,43.04,INV-00001,0
2,2024-08-24T21:00:00,Zen Marketing,marketing,248.51,USD,SG,cash,Campaign spend - Zen Marketing,17.4,INV-00002,0
3,2024-03-22T19:00:00,TaxPrep LLC,professional_service,203.41,USD,CA,cash,Consulting retainer - TaxPrep LLC,14.24,INV-00003,0
4,2024-06-20T10:00:00,City Diner,meals,356.77,USD,CA,wire,Team lunch - City Diner,0.0,INV-00004,1
5,2024-03-30T19:00:00,Cloud Infra,cloud,385.0,USD,SG,wire,Compute instance charges - Cloud Infra,26.95,INV-00005,0
6,2024-09-02T15:00:00,Cloud Infra,cloud,187.73,USD,NL,wire,Compute instance charges - Cloud Infra,13.14,INV-00006,0
7,2024-06-27T11:00:00,Global Supplies,office,4624.13,USD,DE,cash,Office supplies purchase - Global Supplies,323.69,INV-00007,0
8,2024-08-03T09:00:00,Bright Office,office,283.87,USD,CA,cash,Office supplies purchase - Bright Office,19.87,INV-00008,0
9,2024-03-31T14:00:00,Acme Software,software,200.0,USD,DE,wire,SaaS subscription - Acme Software,14.0,INV-00009,1
10,2024-02-18T18:00:00,Sunshine Hotels,lodging,200.0,USD,IN,card,Hotel stay - Sunshine Hotels,0.0,INV-00010,1
11,2024-03-16T10:00:00,Blue Travel,travel,316.02,USD,CA,card,Airfare + baggage - Blue Travel,22.12,INV-00011,0
12,2024-02-08T15:00:00,Blue Travel,travel,311.46,USD,SG,wire,Airfare + baggage - Blue Travel,21.8,INV-00012,0
13,2024-09-09T18:00:00,TaxPrep LLC,professional_service,304.06,USD,DE,wire,Consulting retainer - TaxPrep LLC,21.28,INV-00013,0
14,2024-05-25T09:00:00,Blue Travel,travel,78.75,USD,GB,ach,Airfare + baggage - Blue Travel,5.51,INV-00014,0
15,2024-01-07T20:00:00,Bright Office,office,279.8,USD,SG,ach,Office supplies purchase - Bright Office,19.59,INV-00015,0
16,2024-06-16T12:00:00,City Diner,meals,355.61,USD,CA,card,Team lunch - City Diner,0.0,INV-00016,1
17,2024-03-05T09:00:00,City Diner,meals,688.2,USD,NL,card,Team lunch - City Diner,0.0,INV-00017,1
18,2024-05-20T12:00:00,ComplySoft,cloud,150.7,USD,NL,ach,Compute instance charges - ComplySoft,10.55,INV-00018,0
19,2024-01-18T09:00:00,Cloud Infra,cloud,406.86,USD,CA,wire,Compute instance charges - Cloud Infra,28.48,INV-00019,0
20,2024-02-05T10:00:00,Quick Transports,logistics,366.69,USD,GB,card,Freight shipment fee - Quick Transports,25.67,INV-00020,0
